term,prior_v1_category,proposed_v2_category,candidate_source,review_frequency,construct_definition,ambiguity_flag,alternate_categories,concordance_1,concordance_2,concordance_3,decision,reviewer_rationale,reviewer_status
espresso,sherry_rancio_oxidative,sherry_influence,v1,125,Direct sherry-cask references and reviewed berry or dried-fruit sensory markers of sherry influence.,True,sherry_influence;exclude_primary,"od and coal but not peat). garden bonfire. also smoked ham… and then 'cask strength' espresso. the gunpowder tends to disappear. peace! with water: more gunpowder again, then lea",": classic very chocolaty sherry monster, with also some raspberry jam, liquorice and espresso coffee (not decaf, george!). and the same note of demerara and bitter orange. very,",an ex_peater cask. also mint. with water: brings out more oak (pencil_shavings) and espresso but the rest remains there. very nice. mouth (neat): oh this is lovely! some sweet o,,,
fig,,sherry_influence,user_proposed,710,Direct sherry-cask references and reviewed berry or dried-fruit sensory markers of sherry influence.,True,fruit;sherry_influence;exclude_primary,"t from the recent one, although the background is similar. richer and fruitier, with fig, dried banana, orange liqueur, touch of demerara sugar or rather molasses, herb, par","nd fruity. granted, it's 'polished' but never oaky, while many dried_fruit including fig, pear, date, raisin, orange zest and even apple dance on your tongue. to keep this s","h: ultra_classic old strathisla from g&m's thoroughbred racing stable. date, orange, fig, honey and olive oil all over the place. i don't want to sound too 'moroccan' but th",,,
fruitcake,sherry_rancio_oxidative,sherry_influence,v1,150,Direct sherry-cask references and reviewed berry or dried-fruit sensory markers of sherry influence.,True,sherry_influence;exclude_primary,"it and a wide range of resinous/sappy tone including beeswax and propolis. then it's fruitcake galore and yet again, a feeling of old demerara rum (like port mourant). and then, m","of raisiny sherry_matured malt one can find on earth. in other word, an avalanche of fruitcake, fig, date, sultana, dried banana and even touch of demerara, then old balsamico. wh","good, rich, fruity and spicy attack. crystallised orange, pepper and clove plus full fruitcake. with water: same, plus a little sweet white wine and even a muscaty side. i like! q",,,
fudge,sherry_rancio_oxidative,sherry_influence,v1,471,Direct sherry-cask references and reviewed berry or dried-fruit sensory markers of sherry influence.,True,sherry_influence;exclude_primary,"lad yet again, with an interesting spiciness. cinnamon and nutmeg, then more vanilla fudge. nice, fresh and full_bodied without being heavy. with water: same plus note of oran","and you start to find many other aroma, such as coriander, cardamom, ginger, vanilla fudge, kiwi… spectacular whisky from a rare vintage. mouth: … and it go on with the same n","pirit, very clean and very pure. beautiful note of lemon, tart apple, putty, vanilla fudge, dill, coriander… almost granny smith juice after a few minute. i like this profile",,,
gooseberry,,sherry_influence,user_proposed,521,Direct sherry-cask references and reviewed berry or dried-fruit sensory markers of sherry influence.,True,fruit;sherry_influence;exclude_primary,"nose: it seems that it's another 'fresh' aberlour, all on garden fruit (apple, pear, gooseberry, greengage…), with touch of melon as well and just a little wax and graphite oil beh","depth, even if it's all very naked. apple, barley, orange, touch of yogurt, muesli, gooseberry and then a little chalk… narrow but quite powerful. with water: same. touch of dill,","s glenlivet seems to be more complex, with more fresh garden fruit such as apple and gooseberry. a whole fruit salad, in fact. it's all very fresh and there's this feeling of 'eleg",,,
hazelnut,sherry_rancio_oxidative,sherry_influence,v1,192,Direct sherry-cask references and reviewed berry or dried-fruit sensory markers of sherry influence.,True,sherry_influence;exclude_primary,"fume (i'd have loved to write chanel #5 but that would have been, err, far_fetched), hazelnut, wax polish, tobacco, then more humus, mushroom, freshly baked cake… a true madelein","colour: pale gold. nose: this one is rather more on fresh butter and almond, or even hazelnut at very first nosing, with a kind of resinous brine in the background. it's all rath",", almost maritime, together with a flintiness that never stop growing. great note of hazelnut oil. very austere, in fact, and once again, the palate could be so_so with such a no",,,
incense,sherry_rancio_oxidative,sherry_influence,v1,89,Direct sherry-cask references and reviewed berry or dried-fruit sensory markers of sherry influence.,True,sherry_influence;exclude_primary,"che, not far from the official in fact. also some leather, tobacco and just a little incense and sandalwood. and fudge and shortbread. with water: hay bordering on manure now. w","gold. nose: different, very different. start with a lot of camphor and even a little incense before it becomes briny and tarry as it should be. big smoke, new tyre, tar liqueur,","on the palate. other aroma: myriad. tobacco, ham, chocolate, grand_marnier, camphor, incense, raspberry jam, date, peony, blackcurrant jelly… and god know what else. let's not t",,,
leather,sherry_rancio_oxidative,sherry_influence,v1,1149,Direct sherry-cask references and reviewed berry or dried-fruit sensory markers of sherry influence.,True,sherry_influence;exclude_primary,"sso. the gunpowder tends to disappear. peace! with water: more gunpowder again, then leather and burning leaf. game. becomes a tad vinegary as well… 'old nun who neglect herself","and oily, with these whiff of old_style motor oil and then an endless development on leather polish, very old balsamic vinegar, roasted sesame oil (it's very obvious here) and g","comment), flint and roasted chestnut, with then in the background, prune, chocolate, leather and that very typical meaty or even gamey profile. with water: becomes more herbal,",,,
marzipan,sherry_rancio_oxidative,sherry_influence,v1,506,Direct sherry-cask references and reviewed berry or dried-fruit sensory markers of sherry influence.,True,sherry_influence;exclude_primary,"erfect note of melon and maybe pomegranate. a little pine resin as well, almond oil, marzipan… truly excellent. finish: rather long, complex, a little medicinal and always a litt","d lemon… i like this. with water: very good now. sweet barley, sweet spice, a little marzipan, candied orange… it's very full. finish: long, nervous and fresh, citrusy. comment:","raffin, shoe polish and fresh walnut. not even sure about the walnut. maybe a little marzipan? mouth: sharp, narrow and… perfect. a feeling of peat_smoke, wax, lemon skin, cider",,,
mocha,sherry_rancio_oxidative,sherry_influence,v1,137,Direct sherry-cask references and reviewed berry or dried-fruit sensory markers of sherry influence.,True,sherry_influence;exclude_primary,"of crystallised fruit (orange and kumquat but also angelica), roasted nut, touch of mocha, tobacco… absolutely not tired, even if it's no big malt of course. finish: medium l","ter than expected (read feared), with some beeswax, apple pie, stewed pear, a little mocha, chocolate, coffee and toffee. and some malt. typical entry_level malt whisky from a","omething disturbingly cardboardy in the background. speculoos, gingerbread, touch of mocha, golden rum, raisin and then a maltiness that never stop growing. good body at 40% v",,,
molasses,sherry_rancio_oxidative,sherry_influence,v1,142,Direct sherry-cask references and reviewed berry or dried-fruit sensory markers of sherry influence.,True,sherry_influence;exclude_primary,"fruitier, with fig, dried banana, orange liqueur, touch of demerara sugar or rather molasses, herb, parsley… another world, really, i suppose this one had more sherry. a lot mor","first nosing, with black olive, banana flambéed, cane juice and quite some high_end molasses. go on with some genuine balsamic vinegar (i'm writing this because 99% of the 'bals","the same note as in the nose, more or le. corn syrup, honey sauce, brownie, touch of molasses… finish: quite long, with more demerara sugar, millionaire shortbread, praline… comm",,,
nougat,sherry_rancio_oxidative,sherry_influence,v1,266,Direct sherry-cask references and reviewed berry or dried-fruit sensory markers of sherry influence.,True,sherry_influence;exclude_primary,"es! wonderful note of fresh almond, olive oil, high_end vanilla (not wood vanillin), nougat, marzipan, kumquat, fig, dried apricot… and all that is very elegant. vin jaune. wit","n, well, ovaltine and café latte, then honey cake. half a kumquat add vibrancy. also nougat. it's got something of chivas regal, is brae a component of chivas? with water: exce","t and vanilla, with indeed some lactones in the background. that's the coconut. also nougat, marzipan and melted cassata ice cream. i enjoy this freshness. mouth: sweet, rounde",,,
old_book,sherry_rancio_oxidative,sherry_influence,v1,133,Direct sherry-cask references and reviewed berry or dried-fruit sensory markers of sherry influence.,True,rancio_aged_oxidative;exclude_primary,"ould sell a strange combination of antique furniture, spice from all over the world, old_book, both dried and fresh fruit and a wide range of liqueur. i doubt such a shop will ev","rst nosing, which is quite amazing at such high strength. note of marzipan, anchovy, old_book, olive and the faintest ash and soot. a little cedar wood as well. this baby should","ething a little metallic that hint at irish pot still. then much more hay, gasoline, old_book and then the fruit are back, rather more on greengage. the little problem is that it",,,
pipe_tobacco,sherry_rancio_oxidative,sherry_influence,v1,468,Direct sherry-cask references and reviewed berry or dried-fruit sensory markers of sherry influence.,True,sherry_influence;exclude_primary,"savouring some very old sherry… then various kind of raisin, a feeling of juicy rich pipe_tobacco and quite a lot of sweet liquorice. excellent. finish: long, coating, rich, with mor","l bother us. try this blind and you'll think it's glenfarclas 105. with water: same. pipe_tobacco and chocolate. finish: long, balanced, with more jam (once diluted). comment: i thin",late as well as growing note of seville orange. and a superb rancio! go on with more pipe_tobacco and leather and bag of lovage. wonderful! with water: fab! well_hung pheasant ;-). d,,,
polish,sherry_rancio_oxidative,sherry_influence,v1,1036,Direct sherry-cask references and reviewed berry or dried-fruit sensory markers of sherry influence.,True,sherry_influence;flaws_off_notes,", with these whiff of old_style motor oil and then an endless development on leather polish, very old balsamic vinegar, roasted sesame oil (it's very obvious here) and god know","herbal side that come out, with parsley like in the mortlach, hay, wet leaf, leather polish… mouth (neat): super excellent ultra_classic sherry monster, between chocolate (truc","it for sure. mouth: excellent, with these phenolic note yet again, bordering on shoe polish, plus perfect note of melon and maybe pomegranate. a little pine resin as well, almo",,,
prune,fruit_aromatics,sherry_influence,v1,489,Direct sherry-cask references and reviewed berry or dried-fruit sensory markers of sherry influence.,True,fruit;sherry_influence;exclude_primary,"something like liquorice infused in orange liqueur. go on with the expected note of prune and dark_chocolate, then touch of polished wood (sandal? cedar?) and a good deal of",", gunpowder (same comment), flint and roasted chestnut, with then in the background, prune, chocolate, leather and that very typical meaty or even gamey profile. with water: b","of the mortlach. plenty of dark_chocolate, then rather clove and blackberry jam plus prune and heavy demerara rum. i like, as they say on facebook. with water: as often, it's",,,
