term,prior_v1_category,proposed_v2_category,candidate_source,review_frequency,construct_definition,ambiguity_flag,alternate_categories,concordance_1,concordance_2,concordance_3,decision,reviewer_rationale,reviewer_status
lemon_peel,fruit_aromatics,fruit,v1,214,"Fresh, citrus, tropical, and orchard fruit descriptors.",False,,"mouth: raw alcohol at first sip, with this feeling of burnt kirsch and soap, grass, lemon_peel… then even more grass and even more paraffin/soap. finish: quite long, with the salt","tty. sound like a flaw but it isn't, it's just not an easy nose. so far! also rubbed lemon_peel again. with water: barbour grease! linseed and lamp_oil! paint! and maybe a few mush","but maybe that's the higher strength. let's see... with water: same, with maybe more lemon_peel and a little cinchona. mouth (neat): we're much closer to the 1992, only with le van",approve_primary,Approved for proposed primary construct.,approved
lemon_zest,fruit_aromatics,fruit,v1,155,"Fresh, citrus, tropical, and orchard fruit descriptors.",False,,"most the same whisky as the 11yo by hart bros now, i mean at first sip. big saltine, lemon_zest and, rather than tequila, litre of plum eau_de_vie. slivovitz! finish: long, with so","umus, paraffin, coal smoke… great. mouth: same plus these touch of bitter orange and lemon_zest as well as a little cinchona yet again. maybe the body is thinnish but nothing probl","nd smoke and many candied lemon and kumquat in the background. finish: very long, on lemon_zest, pepper and even a little wasabi. comment: not quite a nosing whisky but the palate,",approve_primary,Approved for proposed primary construct.,approved
lime,fruit_aromatics,fruit,v1,941,"Fresh, citrus, tropical, and orchard fruit descriptors.",False,,"whole is really very fresh. mouth: excessively fruity, starting with tart lemon and lime, then peach and melon again. a fairly simple but wonderfully chiselled profile that","so far. mouth: better, but not quite where it should be. le soap and much more salt, lime and grapefruit. ultra_zesty and lemony, in fact, we're in tequila territory. finish:","a colada). where's the distillery again? finish: quite long, nervous, citrusy. i get lime, kiwi and passion_fruit. comment: all pleasure this time, with no down. great cask a",approve_primary,Approved for proposed primary construct.,approved
lychee,fruit_aromatics,fruit,v1,71,"Fresh, citrus, tropical, and orchard fruit descriptors.",False,,". you don't feel the alcohol on the nose very much even at full strength. go on with lychee and a petrol / boiler shed style fatness - something alluding to a youthful, punchy","r d day this year). with time becomes a little fruitier and more herbal with note of lychee, gorse, sage and a tart gooseberry note. with water: more sage, rosemary, bbq smoke,","mpossible at the smws). a whole beehive of wax, some coastal sea green, stone_fruit, lychee, earth, more wax, dried mushroom and dried herb with a drizzle of lemon oil. what a",approve_primary,Approved for proposed primary construct.,approved
mango,fruit_aromatics,fruit,v1,751,"Fresh, citrus, tropical, and orchard fruit descriptors.",False,,"nt and successful, especially because there are also great note of passion_fruit and mango that hint at old bowmores (1960s), because of the way they synchronise with the peat","ruit that give it a great nervousness and then a gangue of vanilla custard and maybe mango coulis. unusually medicinal. mouth: rich and, once again, more southshorish (you're","ricola, yooo_hooh… ahem, that wa the echo) and go on with more typical fruity note, mango, passion_fruit, peach and then more red berry, raspberry, black cherry… the sherry a",approve_primary,Approved for proposed primary construct.,approved
marmalade,fruit_aromatics,fruit,v1,1037,"Fresh, citrus, tropical, and orchard fruit descriptors.",True,fruit;exclude_primary,"a young ci can get, with more or le the same note as on the nose. cough syrup, lemon marmalade and smoked salmon. there is some brine as well but rather le than in other ci in my","ssy and cardboardy, not far from the 1989. mouth (neat): start with quite some lemon marmalade and something peppery, then there's more cinnamon, vanilla and cinchona. that feelin","… and it doe keep improving, with a more complex spiciness and some pleasant note of marmalade as well as, maybe, some apple chutney. finish: short but even cleaner. leather, oran",approve_primary,Approved for proposed primary construct.,approved
orange,fruit_aromatics,fruit,v1,3459,"Fresh, citrus, tropical, and orchard fruit descriptors.",False,,"b, minus the heavy peat - but a peatiness there is. finish: long and fruitier. blood orange. bitterer in the aftertaste. comment: absolutely superb. without that wee winey/vine","what a superb half_dry, half_orangey attack, on something like liquorice infused in orange liqueur. go on with the expected note of prune and dark_chocolate, then touch of pol","le caraway, liquorice and… yeah, chestnut honey. with water: more fruit now, seville orange, dried banana… finish: long, with the pepper, ginger and caraway back in the afterta",approve_primary,Approved for proposed primary construct.,approved
orange_peel,fruit_aromatics,fruit,v1,137,"Fresh, citrus, tropical, and orchard fruit descriptors.",False,,"in my opinion, here it's an asset. other than that, there are load of bitter orange, orange_peel, raisin, date, leather and clay/gravel and ham. with water: leaf, pine needle, steel","ginger and nutmeg plus more and more cinnamon and clove after that. some raisin and orange_peel too but there's no 'maple syrup' effect. it's all rather dry. finish: medium length,","quite some hay and a little roasted malt. wake up a bit after a few minute, with now orange_peel and just wee whiff of wood smoke. very light in any case, so far. after fifteen minu",approve_primary,Approved for proposed primary construct.,approved
orchard_fruit,fruit_aromatics,fruit,v1,151,"Fresh, citrus, tropical, and orchard fruit descriptors.",False,,"s about the palate now… mouth: start a little roughish, spirity, and just as much on orchard_fruit as many other speysiders from refill wood. apple, pear, gooseberry, white cherry… an","ect whisky philosophy! with water: full, very satisfying, just on the border between orchard_fruit and mineral/earthy territory. finish: long and unexpectedly salty. comment: i don't","more tropical as well, with mango, banana, papaya and pineapple on top of the usual orchard_fruit (apple and all that). some fruit are overripe but that go very well, it make it even",approve_primary,Approved for proposed primary construct.,approved
passion_fruit,fruit_aromatics,fruit,v1,363,"Fresh, citrus, tropical, and orchard fruit descriptors.",False,,"of tweaking pleasant and successful, especially because there are also great note of passion_fruit and mango that hint at old bowmores (1960s), because of the way they synchronise wit","a lot of liquorice and bitter cough syrup. oily mouth feel. go on with more mint and passion_fruit, then note of butter cream that match the nose. with water: excellent, creamy and fr","this time. finish: long, more and more on putty and lemon marmalade. maybe touch of passion_fruit and cardamom in the aftertaste. comment: it's not a very complicated st magdalene in",approve_primary,Approved for proposed primary construct.,approved
peach,fruit_aromatics,fruit,v1,806,"Fresh, citrus, tropical, and orchard fruit descriptors.",False,,"ea_air, oyster and seaweed, then a flintiness and then the expected fruitiness, with peach and not_too_ripe melon as well as just a few herb and some grass. chive? the whole i","nlivet, even in youngish naked one such as this baby. with water: open up, with some peach and apricot. or is it nectarine? mouth (neat): fruit salad yet again, with an intere","i'd have said 'bruichladdich!'. so we have this very peculiar combination of melon, peach and sea_air, then rather more almond oil and maybe a little fresh putty, apple peel",approve_primary,Approved for proposed primary construct.,approved
pear,fruit_aromatics,fruit,v1,1229,"Fresh, citrus, tropical, and orchard fruit descriptors.",False,,"traw. nose: it seems that it's another 'fresh' aberlour, all on garden fruit (apple, pear, gooseberry, greengage…), with touch of melon as well and just a little wax and grap","becomes quite tart, in a very pleasant way. with water: creamier, sweeter, fruitier. pear and pineapple drop, tinned fruit, apple pie. finish: medium long, more on barley_sug","hay, nutmeg, grass… get drier and drier in fact. with water: more fruit coming out, pear, cherry, strawberry… but it remains rather 'young'. did i mention apple? mouth (neat",approve_primary,Approved for proposed primary construct.,approved
pineapple,fruit_aromatics,fruit,v1,549,"Fresh, citrus, tropical, and orchard fruit descriptors.",False,,"s. more straightforward than this doesn't exist. with water: same, with maybe tinned pineapple somewhere. barley… mouth (neat): good, full, sweet speyside. malt, apple pie and tou","in the glen moray. that translates into a little more maple syrup and then a little pineapple and some lemon sherbet. becomes quite tart, in a very pleasant way. with water: crea","this baby is damaged, the palate will tell us for sure… although i get nice note of pineapple after a few minute, and something sweet and rounded (syrup). mouth: no, all is fine",approve_primary,Approved for proposed primary construct.,approved
plum,fruit_aromatics,fruit,v1,807,"Fresh, citrus, tropical, and orchard fruit descriptors.",False,,"now, i mean at first sip. big saltine, lemon_zest and, rather than tequila, litre of plum eau_de_vie. slivovitz! finish: long, with some salt and always these note of eau_de_","etely wrong. i probably am. finish: long, more on liqueur_filled chocolate. litre of plum spirit at the retro_olfaction. comment: interesting, a kind of 'modern' sherriness.",". i mean, to my liking. finish: shortish but pleasantly honeyed and jammy. very ripe plum. some cinnamon from the oak in the aftertaste. comment: high quality old glen grant,",approve_primary,Approved for proposed primary construct.,approved
stone_fruit,fruit_aromatics,fruit,v1,73,"Fresh, citrus, tropical, and orchard fruit descriptors.",False,,"ry… and more paraffin/putty again after a few second, as well as some almond oil and stone_fruit spirit (plum, kirsch.) finish: medium long, with a tannicity on top of these note of","f good, it became easier, spirity in a great way, slightly smoky, with more and more stone_fruit, which give it an even bigger almondy side. 100% spirit driven, the manager know wha","kirsch at first nosing, with a few overripe strawberry in the background. go on with stone_fruit and the spirit made thereof (always a little almondy), then straight almond and waln",approve_primary,Approved for proposed primary construct.,approved
tropical_fruit,fruit_aromatics,fruit,v1,393,"Fresh, citrus, tropical, and orchard fruit descriptors.",False,,"he very old ardbegs, the peat got 'transmuted' into tar, almond, soot and some light tropical_fruit in a wonderful way. sure it's absolutely no aromatic powerhouse, in fact it's even a","directly complex, resinous, fruity, honeyed and pretty phenolic, with these note of tropical_fruit that were often to be found in these bottlings. no, i don't know why. passion_fruit,","he case here with the mint. this ha mint. having said that, i don't seem to find any tropical_fruit, rather a lot of grass, mo, fern, hay… pretty farmyardy, i'd say. mouth: well, it's",approve_primary,Approved for proposed primary construct.,approved
blossom,,floral,corpus_expansion,461,Flower and blossom descriptors.,False,,"the least expressive within the trio, but i enjoy these rather subtle note of orange blossom and muscat wine. also marzipan and a little menthol… mouth (neat): it is sweeter now",", bitter orange, touch of clove and candied ginger plus a little marzipan and orange blossom water. also very ripe gooseberry and then discreet whiff of humus and mo. maybe old","f this is even drier and vegetal. i get a lot of nutmeg, 'nice dust', cinnamon, lime blossom, beeswax, mushroom, liquorice, mint leaf… once again, no fruity explosion this time",approve_primary,Approved for proposed primary construct.,approved
floral,fruit_aromatics,floral,v1,331,Flower and blossom descriptors.,False,,"tension), which is a profile i already found in the first 25s. there's also delicate floral note, which is unusual (rose, old style perfume ala jean patou) and then more costal","colour: pale gold. nose: it's another relatively light one, but it's much more floral and honeyed than the 21, and fruitier as well. also very ripe apple, pear and kiwi a","with water: wahahah… could be the greatest very old rum or cognac… it got intensely floral in fact, which came unexpected. peony and lily. mouth (neat): flabbergasting! ultra_",approve_primary,Approved for proposed primary construct.,approved
flower,,floral,corpus_expansion,905,Flower and blossom descriptors.,False,,"aunched seven or eight year ago. this is extremely mineral and flinty, with whiff of flower (peony and violet), grass and paraffin. then a little yeast, wet rock, candle wax an","mourant). so yes, we have demerara sugar, game, fig, bacon, cured ham, blood orange, flower (peony, as often with sherry monster), chocolate, sandalwood, raspberry jelly, prune","opical_fruit (coconut first, then mango, pineapple and papaya) and aromatic herb and flower (tea). rosehip, hawthorn, honeysuckle pastry, baklava, vanilla… it's quite incredibl",approve_primary,Approved for proposed primary construct.,approved
heather,fruit_aromatics,floral,v1,396,Flower and blossom descriptors.,False,,"colour: white wine. nose: a rather fragrant young bowmore, with more heather honey and grenadine syrup than usual at first nosing, before it get more 'usual' ind","try an unsherried hp from some pretty active cask. beautiful whiff of flower again (heather?), vanilla, beeswax, blond tobacco, a little sunflower oil, maybe trace of peat_smok","ack it). so some waxy lemon plus touch of smoke, not too ripe pineapple and a little heather honey. and fir liqueur. with water: excellent, a kind of waxy fruit salad. finish: m",approve_primary,Approved for proposed primary construct.,approved
honeysuckle,,floral,corpus_expansion,216,Flower and blossom descriptors.,False,,"e and chicory, with touch of apricot and melon in the background as well as a little honeysuckle. with water: more liquorice and whiff of burnt grass. becomes much drier, even after","mango, pineapple and papaya) and aromatic herb and flower (tea). rosehip, hawthorn, honeysuckle pastry, baklava, vanilla… it's quite incredible that oak didn't take control here, a","the obligatory brine and all the rest and rather focus on the unusual note, such as honeysuckle, angelica, fresh fig, menthol cigarette (mum's kools), pink grapefruit, the faint wh",approve_primary,Approved for proposed primary construct.,approved
jasmine,,floral,corpus_expansion,106,Flower and blossom descriptors.,False,,"t too much, some honey but not too much, many flower including honeysuckle and maybe jasmine, and on top of all that, a drop of the fruitiest olive oil. add three fresh almond a","a clynelish, enchanting note of hazelnut oil, some lime blossom, green tealeaves and jasmine that go so well with that, freshly mown lawn... tends to become a little chalky afte","e this bladnoch, it's a nice desert. typical lemony nose, with added whiff of lotus, jasmine, and probably an all_flower bouquet. lemon curd, then more fresh oak, but without an",approve_primary,Approved for proposed primary construct.,approved
lavender,fruit_aromatics,floral,v1,175,Flower and blossom descriptors.,False,,"n speyside in my experience. finish: not very long but it's still almost pure honey. lavender honey (which, as you may know, is not 'lavendery' at all). ripe apple in the afterta",n all the one from the 1990s and it hasn't got the faintest touch of parma violet or lavender! with water: smoky cough syrup? mouth (neat): exactly the same feeling. singular whi,"ng to clean the pipe? finish: medium long, with again this 'chemical' feeling. pine, lavender… comment: i liked the nose really a lot but it all went rather wrongly on the palate",approve_primary,Approved for proposed primary construct.,approved
orange_blossom,,floral,corpus_expansion,348,Flower and blossom descriptors.,False,,"obably the least expressive within the trio, but i enjoy these rather subtle note of orange blossom and muscat wine. also marzipan and a little menthol… mouth (neat): it is sweeter now","d apple, bitter orange, touch of clove and candied ginger plus a little marzipan and orange blossom water. also very ripe gooseberry and then discreet whiff of humus and mo. maybe old",gh the label stipulates 'single malt'). finish: more of all that plus strawberry and orange blossom water in the aftertaste. comment: old malt whisky that taste pretty much like old gr,exclude_ambiguous,cues of fruit,approved
rose,fruit_aromatics,floral,v1,310,Flower and blossom descriptors.,False,,"but all that with an immense elegance. fig liqueur, camphor and liquorice, maybe old rose. i think i love this nose just as much as the 717's. with water: indeed, it's superb","water. also very ripe gooseberry and then discreet whiff of humus and mo. maybe old rose. again, it's more lace than harris tweed! mouth: the difference with the 1953 is str","euse… it's all quite subtle but certainly not weak. very nice profile, with even old rose and turkish delight coming through after quite some minute. kind of oriental… also a",approve_primary,Approved for proposed primary construct.,approved
violet,,floral,user_proposed,131,Flower and blossom descriptors.,False,,"ight year ago. this is extremely mineral and flinty, with whiff of flower (peony and violet), grass and paraffin. then a little yeast, wet rock, candle wax and touch of lemon s","rkish delight, but it's much better integrated than with the first version. touch of violet liqueur (parfait amour), then more pink grapefruit. a feeling of good sauvignon. the","re recent official have been so much more to my liking!) whiff of stale cider, parma violet… but it doe improve over time, with more candy sugar, butterscotch and vanilla as we",approve_primary,Approved for proposed primary construct.,approved
allspice,,spice,corpus_expansion,57,Culinary spice descriptors.,False,,"nac_soaked prune and earthy spice, cardamom, ginger, black pepper and sweet moroccan allspice mix. and let's not forget the orange and the raisin. with water: perfect earthy/spic",", but what it doe it doe well. garden bonfire, burning kelp, tincture of iodine, and allspice powder. mouth: start sweet and spicy and smoky, with touch of lemon marmalade and qu","y… perhaps a little satay sauce as well? finish: long, with more pepper, ginger, and allspice. comment: frankly, a'bunadh never disappoints. never, ever. and it's not an excuse f",approve_primary,Approved for proposed primary construct.,approved
anise,,spice,corpus_expansion,112,Culinary spice descriptors.,False,,"ittle nicer and fruitier (raisin) but the rubberiness is still there. a lot of mint, anise and even mustard as well (seed, or rather the raw kind of 'mustard in grain' that th","a_sweet plum juice, the whole being spiced_up with a little cinnamon, clove and star anise. luminous, i'd say. finish: long, creamy, coating and… honeyish. comment: wa that di","of strawberry jam and then more marmalade and liquorice, as well as some clove, star anise and cinnamon. and what a body at 43% vol.! finish: medium long, on a combination of",approve_primary,Approved for proposed primary construct.,approved
aniseed,fruit_aromatics,spice,v1,377,Culinary spice descriptors.,False,,"rt a tad unusual, with this marzipan again as well as nice note of bitter orange and aniseed - and maybe a little kiwi liqueur, but it all fall back into line after a few second","that it's no fruit bomb, rather a fairly yeasty and grassy one, developing on mint, aniseed and dill, with touch of cardboard and wet wool in the background. there's even a lit","ater: becomes pleasantly sour, on apple and lemon juice as well as a little dill and aniseed. sauvignon blanc. mouth (neat): creamy and very fruity, rounder than the 1988. a fru",approve_primary,Approved for proposed primary construct.,approved
black_pepper,,spice,corpus_expansion,342,Culinary spice descriptors.,False,,"(wheelbarrow) and spice such as clove and cumin (a wee bag). with water: more spice! black pepper, a little green_tea, something mineral… finish: long, dry, spicy. clove and pepper i","and pepper grow bigger after that, without being dominating this time. chive, grass, black pepper, note of coriander (maybe sorrel as well?) what's nice is that there's also note of","but of course the waxy note are well there in the background, together with a little black pepper, grass and a few cl of brine. the fruitiness add dimension i must say. with water: w",approve_primary,Approved for proposed primary construct.,approved
caraway,,spice,corpus_expansion,411,Culinary spice descriptors.,False,,"e, then touch of polished wood (sandal? cedar?) and a good deal of pepper, clove and caraway. finish: very long because it's so coating and oily. great note of herb, mint, parsl","ven more chestnut than in the nose. glazed chestnut? load of that, and then a little caraway, liquorice and… yeah, chestnut honey. with water: more fruit now, seville orange, dr","moderate, isn't it? ;-)) with water: nice development on 'indian' spice and orange. caraway seed, cardamom… that came unexpected, win point here. finish: rather long. orange an",approve_primary,Approved for proposed primary construct.,approved
cardamom,,spice,corpus_expansion,213,Culinary spice descriptors.,False,,"mble, beeswax, apple peeling, limoncello, touch of green_tea, a little pepper, maybe cardamom… yes, perfect. finish: long, with the apple peeling and the wax a little louder. ver","'t it? ;-)) with water: nice development on 'indian' spice and orange. caraway seed, cardamom… that came unexpected, win point here. finish: rather long. orange and cardamom. com","int more at virgin oak than genuine sherry butt. i mean, there's a lot of ginger and cardamom, for example… it's also a little kirschy. with water: all good now, even if this fee",approve_primary,Approved for proposed primary construct.,approved
cinnamon,fruit_aromatics,spice,v1,884,Culinary spice descriptors.,False,,"le honey? liquorice roll in the aftertaste, and big time. an earthiness as well, and cinnamon. comment: not one of these old malt that fade out, quite the opposite in fact. it's","is it nectarine? mouth (neat): fruit salad yet again, with an interesting spiciness. cinnamon and nutmeg, then more vanilla fudge. nice, fresh and full_bodied without being heavy","eat): start with quite some lemon marmalade and something peppery, then there's more cinnamon, vanilla and cinchona. that feeling of 'campari', with also a little ginger tonic. y",exclude_ambiguous,cues of sherry,approved
clove,fruit_aromatics,spice,v1,562,Culinary spice descriptors.,False,,"k_chocolate, then touch of polished wood (sandal? cedar?) and a good deal of pepper, clove and caraway. finish: very long because it's so coating and oily. great note of herb,","oso style, far from the style of the mortlach. plenty of dark_chocolate, then rather clove and blackberry jam plus prune and heavy demerara rum. i like, as they say on faceboo","polish, leather. mouth: ah yes. punchy, waxy, earthy, salty and just a little spicy (clove). then more lemon. finish: long, on pretty the same note. comment: no need for longi",exclude_ambiguous,cues of sherry,approved
coriander,,spice,corpus_expansion,208,Culinary spice descriptors.,False,,"iale, until your nose got accustomed and you start to find many other aroma, such as coriander, cardamom, ginger, vanilla fudge, kiwi… spectacular whisky from a rare vintage. mout",", kiwi and mango. long story short: it's an atomic fruitbomb. oh, and a little fresh coriander to make the whole not only a fruitbomb. mouth: totally in keeping with the nose. pas","lean and very pure. beautiful note of lemon, tart apple, putty, vanilla fudge, dill, coriander… almost granny smith juice after a few minute. i like this profile a lot. with water",approve_primary,Approved for proposed primary construct.,approved
ginger,fruit_aromatics,spice,v1,1060,Culinary spice descriptors.,False,,"water: more fruit now, seville orange, dried banana… finish: long, with the pepper, ginger and caraway back in the aftertaste. comment: an extremely typical big_bodied sherrie","vitz? touch of vanilla, maybe a little tinned litchi. with water: same plus a little ginger tonic. or speculoos? finish: medium long, becoming grassier. herbal tea, pepper… com","ce, fresh and full_bodied without being heavy. with water: same plus note of orange. ginger, white pepper. finish: medium long, sweet and elegant. comment: won't make you scrat",exclude_ambiguous,cues of sherry,approved
nutmeg,fruit_aromatics,spice,v1,418,Culinary spice descriptors.,False,,"ne? mouth (neat): fruit salad yet again, with an interesting spiciness. cinnamon and nutmeg, then more vanilla fudge. nice, fresh and full_bodied without being heavy. with wate","yle indeed. do you know pulmoll? mint, eucalyptus drop, a sootiness, shellfish, some nutmeg, bergamot, touch of honeydew, liquorice… remains complex and frankly excellent. very","t there're not only apple of course. also quite some cinnamon and vanilla, some hay, nutmeg, grass… get drier and drier in fact. with water: more fruit coming out, pear, cherry",exclude_ambiguous,cues of sherry,approved
pepper,,spice,corpus_expansion,2732,Culinary spice descriptors.,False,,"hat really taste as 'mature' as some much older whisky. again a little gunpowder and pepper, then quite some menthol (more to be found in much older whisky in my experience), r","and dark_chocolate, then touch of polished wood (sandal? cedar?) and a good deal of pepper, clove and caraway. finish: very long because it's so coating and oily. great note o","ey. with water: more fruit now, seville orange, dried banana… finish: long, with the pepper, ginger and caraway back in the aftertaste. comment: an extremely typical big_bodied",approve_primary,Approved for proposed primary construct.,approved
peppery,texture_body,spice,v1,1208,Culinary spice descriptors.,False,,"to the minimum. the whiff of violet are a little new i think. mouth: start biggish, peppery, fairly salty, with some brine, bitter orange, olive, juniper and ginger. a little m","rpentine. even in a slow cask, age doe matter i guess. mouth: lovely, very lovely. a peppery peatiness, some lemon, smoked fish, brine, more lemon, more kipper, more smoked oil","far from the 1989. mouth (neat): start with quite some lemon marmalade and something peppery, then there's more cinnamon, vanilla and cinchona. that feeling of 'campari', with a",approve_primary,Approved for proposed primary construct.,approved
star_anise,,spice,corpus_expansion,68,Culinary spice descriptors.,False,,"ultra_sweet plum juice, the whole being spiced_up with a little cinnamon, clove and star anise. luminous, i'd say. finish: long, creamy, coating and… honeyish. comment: wa that di","note of strawberry jam and then more marmalade and liquorice, as well as some clove, star anise and cinnamon. and what a body at 43% vol.! finish: medium long, on a combination of","unround. mouth (neat): ah, this more to my liking. cider, nutmeg, lemon and touch of star anise, very 'old highland'. then more bitter orange and liquorice with, maybe, touch of pe",approve_primary,Approved for proposed primary construct.,approved
white_pepper,,spice,corpus_expansion,540,Culinary spice descriptors.,False,,"h and full_bodied without being heavy. with water: same plus note of orange. ginger, white pepper. finish: medium long, sweet and elegant. comment: won't make you scratch your head b","hat complement the spice - well, the rather big tannicity. finish: long, with bag of white pepper that start to burry the fruitiness. unexpected drop of rosewater in the aftertaste.","le tobacco, mead, pecan… granted, the oak becomes a notch louder towards the finish (white pepper) but it's all under control. finish: medium long, on mint and earl_grey tea. more ci",approve_primary,Approved for proposed primary construct.,approved
antiseptic,peat_smoke_coastal,peat_smoke_coastal,v1,218,"Peat, smoke, ash, maritime, and coastal descriptors.",True,peat_smoke_coastal;flaws_off_notes,"of orange cake, putty, just touch of brine and kipper, idea of chardonnay… a little antiseptic as well. very curious about the palate… mouth: a strange one indeed. maybe a tad fla","smokiness is bigger, not tamed by age yet, and there's also quite some carbolineum, antiseptic and seawater. also diesel oil, motul motor oil (i've decided to be more precise with","n of fresh putty, brine, coal ash (old coal stove), oyster and lemon juice. a little antiseptic too. mouth: same, plus that saltine. very nice attack, sadly it get a little light t",approve_primary,Approved for proposed primary construct.,approved
